Intervalo 0
lo -> 0.011135057471264368
vc -> 0.011135057471264368
cas -> 0.011135057471264368
corr -> 0.011314655172413793
uniform -> 0.011673850574712643
voc -> 0.011673850574712643
tap -> 0.011853448275862068
sab -> 0.011853448275862068
esper -> 0.011853448275862068
ate -> 0.011853448275862068
prim -> 0.012033045977011493
acab -> 0.012751436781609195
1x0 -> 0.012751436781609195
ne -> 0.012751436781609195
gost -> 0.01293103448275862
cal -> 0.01293103448275862
de -> 0.013110632183908046
sort -> 0.013110632183908046
dar -> 0.013110632183908046
part -> 0.013110632183908046
tao -> 0.01329022988505747
ter -> 0.013469827586206896
bol -> 0.013469827586206896
contr -> 0.013649425287356323
p -> 0.013829022988505748
y -> 0.013829022988505748
acord -> 0.014008620689655173
boc -> 0.014008620689655173
deu -> 0.014188218390804598
estadi -> 0.014367816091954023
pens -> 0.014547413793103448
tis -> 0.014906609195402298
s -> 0.01526580459770115
azul -> 0.01526580459770115
aind -> 0.016163793103448277

Intervalo 5
quas -> 0.010007849293563579
fez -> 0.010007849293563579
hor -> 0.010007849293563579
tao -> 0.01020408163265306
eh -> 0.01020408163265306
twitt -> 0.01020408163265306
nad -> 0.010400313971742544
porqu -> 0.010400313971742544
tis -> 0.010596546310832025
el -> 0.010596546310832025
filh -> 0.010792778649921507
p -> 0.010792778649921507
sab -> 0.01098901098901099
azul -> 0.011185243328100471
cas -> 0.011381475667189953
vez -> 0.011381475667189953
ne -> 0.011381475667189953
ter -> 0.011381475667189953
dev -> 0.011577708006279434
deu -> 0.011773940345368918
sao -> 0.011773940345368918
gan -> 0.011970172684458399
cad -> 0.01216640502354788
sort -> 0.01216640502354788
voz -> 0.01216640502354788
tom -> 0.01216640502354788
assim -> 0.012362637362637362
y -> 0.012362637362637362
bol -> 0.012362637362637362
camiset -> 0.012558869701726845
lev -> 0.012755102040816327
part -> 0.012755102040816327
lo -> 0.012951334379905808
falt -> 0.013540031397174255
car -> 0.013540031397174255
final -> 0.013736263736263736
aind -> 0.0141287284144427
voc -> 0.014717425431711145
contr -> 0.014717425431711145
acord -> 0.014913657770800628
s -> 0.01510989010989011
outr -> 0.01510989010989011
kak -> 0.015306122448979591
galva -> 0.015502354788069073
vend -> 0.015698587127158554
vou -> 0.01609105180533752
melhor -> 0.016287284144427
fal -> 0.016483516483516484
@ivetesangalo -> 0.016679748822605967
pq -> 0.016679748822605967

Intervalo 6
tao -> 0.010009624639076035
1x0 -> 0.010009624639076035
gan -> 0.010009624639076035
grit -> 0.010202117420596728
acord -> 0.01039461020211742
camp -> 0.01039461020211742
cad -> 0.010587102983638113
vc -> 0.010587102983638113
vi -> 0.010587102983638113
#arg -> 0.010587102983638113
sab -> 0.010587102983638113
buen -> 0.010587102983638113
#hol -> 0.010587102983638113
#brasil -> 0.010779595765158807
p -> 0.0109720885466795
dand -> 0.011164581328200193
segund -> 0.011164581328200193
hj -> 0.011164581328200193
show -> 0.011357074109720885
falt -> 0.011549566891241578
bit -> 0.011549566891241578
pass -> 0.011934552454282965
assim -> 0.011934552454282965
laranj -> 0.011934552454282965
dess -> 0.012127045235803657
nad -> 0.012127045235803657
da -> 0.01231953801732435
ne -> 0.01231953801732435
@realkaka -> 0.012512030798845043
olh -> 0.012512030798845043
ter -> 0.012704523580365737
es -> 0.01289701636188643
temp -> 0.01289701636188643
aind -> 0.01289701636188643
s -> 0.01289701636188643
vend -> 0.013089509143407122
ly -> 0.013089509143407122
dar -> 0.013282001924927815
lo -> 0.013282001924927815
cas -> 0.013474494706448507
uniform -> 0.013474494706448507
juiz -> 0.013666987487969202
parec -> 0.013666987487969202
outr -> 0.013859480269489894
tis -> 0.013859480269489894
jagg -> 0.013859480269489894
tt -> 0.013859480269489894
voc -> 0.014051973051010587
mick -> 0.014051973051010587
y -> 0.014051973051010587

Intervalo 7
cap -> 0.010118632240055827
@vidadegayroto -> 0.010118632240055827
sab -> 0.010118632240055827
fif -> 0.010118632240055827
seleca -> 0.010118632240055827
vermelh -> 0.010293091416608514
sakur -> 0.010293091416608514
dev -> 0.010293091416608514
vc -> 0.010293091416608514
uniform -> 0.010293091416608514
tant -> 0.010293091416608514
porr -> 0.0104675505931612
vend -> 0.010642009769713887
banc -> 0.010642009769713887
#arg -> 0.010642009769713887
ly -> 0.010642009769713887
assim -> 0.010816468946266573
twitt -> 0.010816468946266573
lev -> 0.01099092812281926
galva -> 0.01099092812281926
pass -> 0.01099092812281926
@tweetcomedia -> 0.01099092812281926
laranj -> 0.011165387299371946
